name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,temp_1,temp_5,temp_10,temp_20,temp_50,temp_80,temp_90,temp_95,temp_99,dni_avg,dni_var,dni_cnt,dni_max,dni_min
74251,33.01,-115.26,17520,23.2183732876711,104.582835529352,17520,48.2,0.5,4.5,8,10.3,13.7,22.2,32.6,37.9,41.3,45.5,315.67397260274,142502.195201275,17520,1009,0
74558,33.05,-116.74,17520,15.2875164860371,60.0963362965367,17439,37,0,0.9,4.6,6.5,8.6,13.7,22.1,26.8,30.4,34.3,297.909075342466,153530.442728313,17520,1058,0
74559,33.05,-116.7,17520,16.0804777688878,61.4684740930362,17498,37.9,0,1.7,5.4,7.3,9.4,14.6,23,27.7,31.3,35.3,294.559874429224,151706.823859335,17520,1056,0
74560,33.05,-116.66,17520,13.999439022965,65.1141920649026,17113,36.3,0,-1.4,2.2,4.2,6.4,12.2,21.1,25.9,29.5,33.5,301.926484018265,156970.902181159,17520,1064,0
74561,33.05,-116.62,17520,13.6408532643827,66.0649587923486,17017,36,0,-2,1.5,3.6,5.9,11.8,20.8,25.65,29.2,33.3,303.156278538813,159295.979571298,17520,1067,0
74562,33.05,-116.58,17520,13.2155094249583,69.7218485682485,16764,35.9,0,-3.1,0.4,2.4,4.9,11.1,20.5,25.5,29.2,33.2,305.383561643836,159581.788941499,17520,1068,0
74563,33.05,-116.54,17520,14.0115749749395,72.8788770982675,16959,37.1,0,-2.3,1.1,3.2,5.7,12,21.5,26.6,30.3,34.4,310.773915525114,155516.069608981,17520,1058,0
74564,33.05,-116.5,17520,14.2254292480757,77.7422315198027,16890,37.8,0,-2.8,0.8,2.9,5.5,12.1,22,27.2,31.1,35.1299999999999,329.494634703196,161396.439037389,17520,1058,0
74565,33.05,-116.46,17520,16.193550069541,85.1298969645175,17256,40.6,0,-0.9,2.7,4.9,7.5,14.4,24.4,29.9,33.8,37.9,326.065296803653,158356.535949598,17520,1053,0
74566,33.05,-116.42,17520,17.8402398439294,89.7067819933123,17428,42.8,0,0.7,4.3,6.5,9.2,16.2,26.4,31.9,35.9,40.1,321.832305936073,152794.339820469,17520,1040,0
74567,33.05,-116.38,17520,16.4735450962209,89.5491696702757,17252,41.6,0,-1,2.7,4.9,7.6,14.6,24.9,30.5,34.6,38.8299999999999,327.211815068493,156661.571377026,17520,1044,0
74568,33.05,-116.34,17520,15.4015698494826,87.9087145343116,17008,40.4,0,-2.3,1.3,3.5,6.3,13.3,23.6,29.3,33.4,37.6,332.01700913242,160791.820248345,17520,1053,0
74569,33.05,-116.3,17520,16.0610281246353,90.414565016308,17138,41.4,0,-1.63,2,4.2,7,14,24.4,30.1,34.3,38.6,331.964554794521,159242.333294633,17520,1049,0
74570,33.05,-116.26,17520,17.2967326675518,92.5598507717949,17323,42.8,0,-0.2,3.4,5.6,8.4,15.4,25.9,31.55,35.8,40,328.518093607306,155487.729565868,17520,1041,0
74571,33.05,-116.22,17520,17.7761364944182,93.5679457791462,17378,43.4,0,0.3,3.9,6.1,8.9,16,26.4,32.1,36.3,40.6,330.877625570776,157560.621475472,17520,1043,0
74572,33.05,-116.18,17520,17.4716238034829,93.0929015670198,17342,43,0,-0.1,3.6,5.8,8.55,15.6,26.1,31.8,36,40.2,325.692808219178,153480.232701276,17520,1039,0
74573,33.05,-116.14,17520,20.8258447488584,95.5694775670831,17520,46.5,0.8,3.4,7.1,9.3,12.1,19.2,29.6,35.3,39.45,43.7,314.850627853881,143560.179010981,17520,1018,0
74574,33.05,-116.1,17520,22.7073344748859,95.5558335247442,17520,48.2,2.6,5.3,8.9,11.1,13.9,21.2,31.5,37.2,41.2,45.4,310.074543378995,139755.888386683,17520,1009,0
74575,33.05,-116.06,17520,22.8210616438355,95.5612322765821,17520,48.3,2.7,5.4,9,11.2,14,21.3,31.6,37.3,41.3,45.5,307.243664383562,138017.984519494,17520,1009,0
74576,33.05,-116.02,17520,23.1726769406394,96.3503607769556,17520,48.4,2.7,5.6,9.1,11.3,14.2,21.8,32.1,37.6,41.5,45.5,305.089326484018,136620.297117656,17520,1009,0
74577,33.05,-115.98,17520,23.2203881278539,96.4819645733623,17520,48.4,2.7,5.6,9.1,11.4,14.2,21.9,32.1,37.7,41.5,45.5,313.765696347032,141978.526353295,17520,1010,0
74578,33.05,-115.94,17520,23.2396232876711,96.9597381993088,17520,48.2,2.5,5.6,9,11.2,14.2,22,32.2,37.7,41.3,45.4299999999999,315.062614155251,143090.341133202,17520,1011,0
74579,33.05,-115.9,17520,23.2295719178082,97.1255693127126,17520,48.2,2.4,5.6,9,11.2,14.2,22,32.2,37.7,41.3,45.4,314.983105022831,143195.526285679,17520,1014,0
74580,33.05,-115.86,17520,22.9846803652968,97.4719383646353,17520,47.8,2.1,5.3,8.6,10.8,13.9,21.8,32,37.4,41,45.0299999999999,319.471575342466,145768.321128176,17520,1016,0
74581,33.05,-115.82,17520,23.0032020547947,98.4263034627955,17520,47.7,1.5,5.3,8.5,10.7,13.8,21.9,32.1,37.4,40.9,45.1,316.342922374429,145377.363189796,17520,1020,0
74582,33.05,-115.78,17520,23.0542465753424,98.5089904706197,17520,47.8,1.4,5.3,8.5,10.7,13.9,21.9,32.1,37.4,40.9,45.1,315.390011415525,145165.858328199,17520,1024,0
74583,33.05,-115.74,17520,23.3234988584475,98.6342848062103,17520,48,1.3,5.6,8.8,10.9,14.1,22.2,32.4,37.6,41.1,45.3,316.588413242009,145887.690453118,17520,1026,0
74584,33.05,-115.7,17520,23.40774543379,98.6481739222917,17520,48.1,1.3,5.7,8.9,11,14.2,22.3,32.5,37.7,41.2,45.4,302.296175799087,139101.805590715,17520,1026,0
74585,33.05,-115.66,17520,23.4150742009134,98.6449813861266,17520,48.1,1.2,5.7,8.9,11,14.2,22.3,32.6,37.7,41.2,45.4,309.098401826484,145044.625284261,17520,1027,0
74586,33.05,-115.62,17520,23.3967066210047,98.6373491621688,17520,48.1,1.2,5.7,8.9,11,14.2,22.3,32.5,37.7,41.2,45.3299999999999,312.060102739726,147559.976123729,17520,1027,0
74587,33.05,-115.58,17520,23.3821118721463,98.7755108088784,17520,48.1,1.2,5.7,8.8,10.9,14.2,22.3,32.5,37.7,41.2,45.3,309.915639269406,147233.226172418,17520,1027,0
74588,33.05,-115.54,17520,23.403932648402,98.9754551652796,17520,48.1,1.2,5.6,8.8,10.9,14.2,22.3,32.6,37.7,41.2,45.4,307.977682648402,146560.840474558,17520,1027,0
74589,33.05,-115.5,17520,23.4665468036531,99.5635768640685,17520,48.2,1.2,5.6,8.8,11,14.2,22.4,32.6,37.8,41.3,45.4,306.86997716895,145210.296124633,17520,1025,0
74590,33.05,-115.46,17520,23.4873287671234,100.123191220184,17520,48.2,1.2,5.5,8.8,10.9,14.2,22.4,32.7,37.9,41.4,45.5,308.195205479452,144917.167098419,17520,1023,0
