54,160,119,490,510,2264,2354,1021,2214,961,1805,1597,743,1228,468,700,521,139,121,51
23,128,223,188,819,2184,1290,1913,2178,938,1740,1586,1390,606,876,670,267,359,97,45
66,150,115,451,1083,1278,2413,1997,1069,1911,1648,773,1446,1108,441,694,521,172,122,62
7,56,172,340,897,2230,2320,1884,1840,1590,1386,1555,1078,934,583,360,157,67,46,18
30,91,204,367,1021,2145,1971,1683,1830,1487,1359,1439,1141,1000,763,463,250,150,70,56
58,93,217,382,1091,2083,1866,1636,1731,1480,1383,1395,1089,1061,773,544,286,187,84,81
76,150,221,410,1131,2028,1736,1563,1642,1479,2717,1083,1020,864,601,337,217,118,81,46
118,148,249,440,1204,1961,3111,1511,1458,1272,1336,1114,1001,1573,412,247,184,89,68,24
154,163,299,507,1273,1848,2881,1425,1431,1233,1290,1072,1013,1607,516,323,207,124,80,74
100,114,155,327,1919,1749,1395,1285,2722,1176,1223,1027,1886,747,590,418,454,105,74,54
61,78,321,310,643,3039,1366,1183,2628,1084,1166,1964,868,800,1080,327,241,255,63,43
92,97,377,297,702,3013,1294,1106,2490,1042,1110,1907,856,791,1134,409,302,343,69,89
59,72,238,272,1129,1492,2663,1087,2413,1006,1029,1852,821,1447,520,731,294,272,63,60
90,92,305,251,1403,1530,2442,1095,2289,1004,1885,878,1553,655,906,357,510,120,120,35
63,172,142,556,604,2681,1181,2104,1172,2021,1783,869,1468,634,888,354,527,130,124,47
50,159,105,463,522,2228,2398,1010,2239,953,1844,1591,773,1241,456,705,508,123,107,45
80,168,165,558,580,2578,2134,1070,2154,953,1746,1570,745,1149,439,685,487,115,102,42
35,128,259,195,875,2284,1211,1863,2107,932,1747,1569,1370,597,869,679,271,376,109,44
51,96,224,377,1068,2081,1904,1619,1747,1470,1369,1411,1091,1074,775,532,281,183,86,81
182,220,397,1109,2030,1830,1598,1694,1453,1372,1378,1133,1044,806,556,315,198,101,66,38
75,155,223,418,1121,2020,1719,1560,1644,1456,2692,1124,1004,865,620,342,217,128,84,53
110,141,256,429,1184,1974,3135,1531,1455,1287,1343,1113,1016,1555,396,245,175,85,68,22
134,168,270,462,1268,1883,2966,1425,1473,1253,1280,1119,996,1592,497,289,201,106,78,60
76,109,155,321,1812,1803,1462,1329,2800,1180,1264,1056,1883,767,553,354,410,91,66,29
115,149,143,336,2105,1665,1372,1243,2685,1116,1222,995,1868,748,572,438,490,119,69,70
66,90,352,286,652,3050,1334,1159,2608,1065,1153,1947,859,802,1095,349,267,268,67,51
100,109,402,355,730,3044,1231,1095,2470,1040,1099,1886,861,761,1134,401,299,346,71,86
61,78,275,263,1262,1516,2576,1084,2369,1031,1034,1837,816,1415,513,727,281,265,61,56
111,97,352,273,1700,1548,2313,1055,2288,1005,970,1747,770,1355,493,736,287,289,57,74
74,192,168,623,674,2782,1127,2104,1172,2004,1748,832,1472,589,863,340,496,118,103,39
92,188,180,680,665,2791,1071,2079,1138,1955,1719,843,1435,607,878,352,527,140,125,55
73,169,150,532,578,2528,2153,1061,2151,925,1792,1581,762,1172,438,705,488,116,101,45
36,133,261,183,864,2208,2129,920,2063,1842,1616,803,1372,1066,821,331,527,241,82,22
216,224,418,1110,2004,1736,1579,1668,1436,1329,1400,1113,1021,839,615,334,214,129,82,53
78,160,234,425,1123,2013,1673,1544,1623,1431,2658,1140,1015,870,643,371,226,138,85,70
113,146,252,427,1192,1945,3119,1534,1455,1287,1323,1146,1023,1545,413,235,178,91,70,26
130,160,275,446,1257,1863,3031,1431,1455,1261,1305,1118,1004,1588,487,276,195,108,74,56
160,163,309,505,1248,3321,1370,1406,1434,1214,2335,1017,874,768,532,550,145,83,67,19
93,121,146,335,1872,1727,1434,1288,2738,1166,1215,1068,1892,751,584,416,440,107,71,56
137,144,189,310,2140,1621,1367,1207,2639,1106,1191,986,1855,741,601,460,527,136,76,87
78,100,402,312,715,3076,1290,1127,2557,1060,1127,1919,850,782,1092,364,272,276,63,58
146,137,428,520,993,3005,1106,1130,2406,1063,1055,1786,846,737,1037,376,298,308,65,78
90,94,338,254,1683,1535,2379,1095,2312,1015,1011,1778,796,1343,492,701,253,242,54,55
62,74,269,241,1061,1264,2683,1011,2325,999,1956,852,1599,700,1054,389,593,178,146,64
102,209,194,773,823,2805,1012,2174,1081,1962,1726,793,1440,554,850,324,464,103,94,37
56,172,123,479,552,2347,2272,1024,2184,955,1816,1608,759,1214,466,720,495,124,107,47
56,170,125,460,1352,1382,2331,2093,1056,1895,1694,792,1403,1081,386,641,412,76,88,27
71,184,157,517,1516,1427,2170,2114,993,1891,1650,772,1371,1060,382,634,416,75,91,29
101,145,247,433,1147,1959,3180,1594,1439,1281,1347,1154,1018,1516,391,227,163,93,63,22
118,145,255,422,1191,1916,3115,1527,1482,1259,1319,1167,1017,1555,419,236,173,94,82,28
