opt_wo_fval,opt_wo_vio,opt_wo_sohmin,opt_wo_mttfmin,opt_wo_time,opt_fval,opt_vio,opt_sohmin,opt_mttfmin,opt_time,rdtsh_fval,rdtsh_vio,rdtsh_sohmin,rdtsh_mttfmin,rdtsh_time,tsh_fval,tsh_vio,tsh_sohmin,tsh_mttfmin,tsh_time,srigh_fval,srigh_vio,srigh_sohmin,srigh_mttfmin,srigh_time
36,0.513888888888889,0.856661660695676,0.835327219029928,5.48476604,43,0.162790697674419,0.89998041608159,0.901788539041951,8.33615831,45,0,0.904021325376813,0.917480935351428,0.021590238,47,0.0425531914893617,0.876567221905056,0.864570088919588,0.019471181,22,0.931818181818182,5.49002048914031e-13,0.224016803896812,0.453776411
39.0000000000001,0.615384615384614,0.860341486297875,0.837251669555148,2.359200388,51,0.156862745098039,0.899979839045024,0.901788539041952,4.036408451,34,0,0.902259787061227,0.924081207334905,0.019512535,46,0.0652173913043478,0.886623127259559,0.878655810019011,0.017453358,20,0.75,0.00307077600586115,0.341992933868836,0.405584871
31.9999999999515,0.5937500000009,0.857201177596068,0.838631853022127,1.764419847,46,0.141304347826087,0.899980370613191,0.90400164727868,2.604054677,34,0,0.903807099947235,0.923543063945767,0.020073338,37,0.0540540540540541,0.884268882094577,0.876317523114553,0.017366321,18,0.722222222222222,7.7097031625669e-18,0.211088086067534,0.372242866
36,0.611111111111111,0.857725350649353,0.836951701057871,2.85341668,45,0.133333333333333,0.899982609494639,0.901788539041951,3.989210613,36,0,0.903850006925138,0.92126406981253,0.019280041,47,0.0425531914893617,0.89135874370593,0.887570262252726,0.017019927,19,0.789473684210526,9.15594540173867e-48,0.166371921349384,0.371423161
33,0.681818181818182,0.858615352336448,0.838011660069794,2.447169824,42,0.119047619047619,0.899979839044992,0.903321571754929,3.269517464,36,0,0.906932047902536,0.922125686272936,0.01983927,43,0.0116279069767442,0.898909231339261,0.909270163232547,0.017456026,19,0.684210526315789,0.0211565125277346,0.381202578046964,0.373787319
40.9999999999678,0.609756097561454,0.859371730298984,0.838093584320331,4.958800418,56,0.205357142857143,0.899979839045024,0.901913837407058,2.230908349,37,0,0.903500716606636,0.91900845452603,0.020628351,43,0.0232558139534884,0.89242277018934,0.904644943472514,0.018473226,22,0.772727272727273,0.00543804585590383,0.349469781013807,0.429631218
36,0.680555555555556,0.856661660695676,0.835327219029928,2.803901115,44,0.147727272727273,0.899979839045024,0.901913837407058,4.142699808,33,0,0.907477691783048,0.936586304581712,0.019797018,46,0.0326086956521739,0.889265799146285,0.882140809767654,0.01718992,20,0.85,6.53985394235982e-25,0.196006838135483,0.390368314
30,0.616666666666667,0.858523729967086,0.838631853018112,1.044742946,40,0.1,0.899982609494639,0.902628692099269,3.251183978,32,0,0.904689771665382,0.921701127216871,0.01903834,40,0.0125,0.899510689899761,0.918482632375674,0.017022393,17,0.705882352941177,5.72686466830664e-07,0.273244338311427,0.343862128
32,0.65625,0.860341486297875,0.837251669555148,1.172736451,41,0.0853658536585366,0.899981616039091,0.901432083926859,4.072730745,29,0,0.904994909119943,0.918605454787943,0.019672158,35,0.0142857142857143,0.897567694945968,0.900368269625174,0.017408317,20,0.7,0.00263511379548262,0.343196030259996,0.379381985
38,0.644736842105263,0.855512861390355,0.837264081455456,12.970236396,51,0.156862745098039,0.899979839045024,0.900504711436766,5.109634896,38,0,0.904689771665382,0.91935766489331,0.020699506,40,0.0375,0.877687943392794,0.867560482431469,0.018198836,20,0.825,0.000318209053734831,0.313647250792806,0.425463496
33,0.606060606060606,0.857201177595678,0.838755515072242,3.66978239,40,0.1625,0.899981616039091,0.900504711436766,9.027816594,41,0,0.905788665785899,0.920867873276652,0.021248405,46,0.0217391304347826,0.898768474695931,0.901785628215267,0.018946054,21,0.785714285714286,0.297763677414617,0.505622238600592,0.434873518
36,0.625,0.860341486297875,0.837251669555148,2.878875646,43,0.127906976744186,0.899981616039091,0.901788539041951,5.950006138,36,0,0.90891707418136,0.926378597273175,0.021923513,49,0.0204081632653061,0.883758773832038,0.869249065599103,0.018870582,21,0.761904761904762,0.293463473692988,0.504157493851278,0.422223115
33,0.606060606060606,0.858807039029221,0.838093584320331,4.054952136,48.9999999999275,0.11224489795935,0.899979839045024,0.903130975634866,4.26343265,32,0,0.903371924374137,0.924079933650981,0.018983508,39,0.0256410256410256,0.885899483129098,0.882185093862988,0.016987642,19,0.842105263157895,0.00057322173285663,0.316501586296582,0.377793208
34,0.661764705882353,0.858523729969683,0.838011660069794,3.410569733,43,0.197674418604651,0.89998041608159,0.901970091158402,4.962474313,35,0.0285714285714286,0.89485463251582,0.891402803661365,0.020560394,40,0.0125,0.899510689899761,0.916535275066706,0.017402961,18,0.722222222222222,0.00544654812233425,0.354414990376926,0.383829533
39,0.615384615384615,0.865949448774656,0.842977931895174,3.338473488,50,0.14,0.899982103168624,0.901788539041951,6.224943344,39,0,0.90671095214843,0.937468646151243,0.024244993,44,0.0227272727272727,0.875109692431983,0.856466132063414,0.020647078,25,0.72,2.07545567063317e-08,0.260567391660345,0.50785081
35,0.657142857142857,0.856787251130758,0.839076244486442,5.174343614,42,0.119047619047619,0.8999856798148,0.901788539041951,2.976841504,42,0,0.912475066825127,0.943637077288528,0.02415235,56,0.0535714285714286,0.884453321018635,0.887287809384077,0.021283053,25,0.64,9.60213922785011e-24,0.194966718095031,0.512833479
28,0.642857142857143,0.865968238622653,0.844817492417438,1.467267242,34,0.132352941176471,0.899982103168624,0.902507994222393,3.455237171,29,0,0.913401460103169,0.943871416118144,0.021285285,42,0.0119047619047619,0.898510217098933,0.908199496830416,0.018499118,20,0.8,0.483460638777119,0.572016842285878,0.398809452
35,0.628571428571429,0.855051713353983,0.836475050750311,5.100003933,42.9999999999804,0.116279069767495,0.89998041608159,0.903192249316306,5.429011684,37,0,0.913904003205531,0.945223608297929,0.023199762,50,0.06,0.885379958173242,0.886779664399626,0.021143545,23,0.739130434782609,0.282985904469261,0.500630648286941,0.49018684
39,0.564102564102564,0.855051713353983,0.836475050750311,6.073901726,46,0.141304347826087,0.899982103168624,0.90114899013949,6.727694538,45,0,0.907294658059609,0.919699566054204,0.023707884,52,0.0384615384615385,0.876253331682619,0.86074058578176,0.020361153,21,0.761904761904762,3.99788558524068e-126,0.132874105182097,0.444000619
36.9999999998952,0.554054054055624,0.860341486297875,0.837251669555148,3.697116007,44,0.0795454545454545,0.899987632036876,0.902801612207879,6.749677444,41,0,0.910357304255817,0.930541541168869,0.023307515,55,0.0181818181818182,0.886228783673096,0.874425873219125,0.020689332,23,0.782608695652174,0.0240837809570391,0.384548768598444,0.49153195
36,0.5,0.860799794535345,0.844314218942068,3.506033889,42,0.107142857142857,0.89998041608159,0.902628692099269,2.125655271,36,0,0.913346272686139,0.938413344270706,0.023258754,43,0.0348837209302326,0.867750351665984,0.85674855451518,0.020341309,20,0.85,0.174272326743583,0.460734304113099,0.438637121
